artist,genre,title,album,lyrics,labels
Rita Marley,Reggae,That’s The Way,Who Feels It Knows It,"Acesta este modul în care Jah Jah a planificat-o și acesta este modul în care Jah Jah a planificat-o acum pentru că așa este așa cum a planificat-o Jah Jah și acesta este modul în care Jah Jah a planificat-o acum, acum viața mea a fost întâmpinată cu schimbări despre lucrurile care merg foarte rău Jah Guiding mâna pe mine și mi-a arătat ceea ce l-a condus în muzică pentru că este ceea ce el a planificat că va folosi vocea mea pentru a-l servi, că este o fiică a lui Zion. the way Jah Jah planned it now that is the way Jah Jah planned it And that is the way Jah Jah planned it now Jah Jah made the land and waters He made the moon and stars Man thinks he can make it better But now he is gone a bit too far you are building automatic weapons And razing building stone But Jah Jah is the Master And He knows when they will fall They must fall And that is the way Jah Jah planned it that is the way Jah Jah planned it now ' Cause that is the way Jah Jah planned it And that is the way Jah Jah planned it now Jah Jah give I sweet inspiration that is why I can go through this duration he is my life he is my health he is my every every everything everything I need that is the way that is the way that is the way that is the way that is the way that is the way that is the way that is the way that is the way that is the way that is the way that is the way that is the way Acesta este modul în care este modul în care Jah Jah a planificat-o, Jah Jah a planificat-o, Jah Jah a planificat-o, Jah Jah a planificat-o, Jah Jah a planificat-o că Jah Jah a planificat că Jah Jah a planificat-o, Jah Jah a planificat-o, Jah Jah a planificat-o, Jah Jah a planificat că este modul în care este modul în care este singurul mod","['Calmness', 'Joyful activation', 'Power', 'Solemnity', 'Tenderness']"
Maxi Priest,Reggae,Just a Little Bit Longer,Bonafide ,"You say you are hurting cause They say i am flirting no You just can not take it anymore Your friends say i am no good for you But in my heart i am so true A partner for life we ​​can be sure you have asked me for some time to clear you are mind I stayed away it hurts so much Without your touch Now i am back and you say Just a little bit longer baby Cause my love keeps growing stronger A little more time to say But in my head a love song plays For you and me We played in the rain together That Simțirea trăiește pe amintiri pentru totdeauna care aduc lacrimi de bucurie pe care le-am avut parte de momente proaste prea înfocați-mă pe mine, iar tu ne este adus mult mai aproape până la urmă, prea mult, amândoi am luptat pentru a pune totul în jos, am rămas departe doar pentru o perioadă, dar acum mă înnebuniți, am spus că există tot ceea ce este să-mi spun că, sperând că îmi va face să rămân bine cred că îmi doresc doar o fată, sperând că există un loc în care inima îmi va face să rămân bine să-mi dau seama de tine, sperând că există un loc în care să-ți amintești de inima că îmi va fi bine aparțin mi-ai cerut ceva timp pentru a-ți curăța mintea, am rămas departe, mă doare atât de mult fără atingerea ta acum mă întorc și spui","['Nostalgia', 'Sadness', 'Tension']"
Catatonia,Rock,My Selfish Gene,International Velvet,"Tu eu și destin, ghiciți că nu a fost niciodată menit să fii tot ce ai făcut a fost să-mi dai alergie, nu-ți caut simpatia pe care eu și destinul, sunt curtat de incertitudine mi-am pierdut voința de a-mi trăi în mod dezinteresat altruismul mirositor de faliment, gena mea egoistă, îmi umple splina cu bilă și tot ceea ce am crezut că ai dat un al naibii de tine și eu nu am așteptat că nu a fost decât să mă gândesc să nu mă gândesc la un al naibii și să nu aștepți că nu a fost de a-l aștepta pe un neajuns, nu am fost de a aștepta un apologet Gena mea egoistă îmi umple splina cu bilă și în tot acest timp am crezut că ai dat un drum al naibii, atunci am crezut că am dat naibii","['Nostalgia', 'Sadness', 'Tension']"
Reba McEntire,Country,Back to God,Sing It Now: Songs of Faith & Hope,"Te-ai uitat în jur, ai auzit sunetul plânsului lui Mama sau te întorci când vezi chipul celor nevinovați care moare în aceste zile cele mai întunecate nu îți este frică? Că este prea târziu, te-ai dat jos în genunchi, credeți-vă că pliați mâinile și cereți-vă și pledați-vă să vă rugați să vă rugați să plângeți lacrimi de ploaie de durere, podea și să-i urlăm numele, pentru că încă merităm să salvăm, nu putem continua așa și să trăim așa, nu putem iubi așa, am dat ta să dăm această lume înapoi lui Dumnezeu, ai pierdut o dragoste? Ai chef să renunți? A fost inima ta ruptă? Copiii tăi sunt în regulă? Vor veni acasă în siguranță? Stai acolo sperând? Puteți face o dorință pe care să o puteți bate pe lemn ohh nu va face nimic bun, nu vă veți face să vă coborâți pe genunchi, credeți-vă că pliați mâinile și implorați și pledați să vă rugăm să vă rugați să vă lăsați să plângeți lacrimi de ploaie de durere și să țipăm numele Lui pentru care încă merităm să salvăm, nu putem continua ca acesta și să trăim așa, nu putem să-ți iubim așa cum am dat această lume înapoi la Dumnezeu. Rugându-vă că ați plâns lacrimi de ploaie de durere, bateți podeaua lui și să-i urlăm numele, pentru că încă merităm să salvăm nu putem continua așa și să trăim așa, nu putem iubi așa, puteți spera că cel mai bun face o dorință singurul răspuns este să dăm această lume înapoi lui Dumnezeu, dă-i înapoi ...","['Sadness', 'Solemnity', 'Tension']"
Desmond Dekker,Reggae,Shing a Ling,This Is Desmond Dekker,Mut Shinga Singa Shinga eu și fata mea s-a dus la o ea m-a apucat de mâini și a spus să sară Daddadaadda muncă Dadadadadada A Ling,"['Joyful activation', 'Nostalgia', 'Tenderness']"
Tarrus Riley,Reggae,1 2 3 i love you,Love Situation,"123 Te iubesc 456 Îți lipsește 789 Te vreau înapoi 2 * Aud în inima mea din nou mult timp, nu văd fără dragostea ta, îmi este singur, îmi este dor de tine și este prea greu de dezbrăcat, ceea ce mi-ai făcut, mă trezesc în miezul nopții fără tine și este atât de nedrept, încât să-mi trec și să mă întorc doar pentru tine, mă trezesc dimineața, iar soarele îmi lipsește 78. Want You Back 2 * auzi-o din inima mea din nou spectacolele sale pe fața mea Dovezile sunt chiar aici, zâmbetul meu a fost șters Nu pot să-mi spun că nu am pofta de mâncare, mâncarea mea nu are gust, am pierdut greutatea, am crezut că puteți fi înlocuit că am visat ziua de tine și de mine și cât de mare obișnuim să fiu și am crezut cu tărie că transformarea tuturor acestor vise în realitate și ca un copil pe care îl voi urmări atât Inima din nou de mult timp nu văd fără dragostea ta, sunt singur, îmi este dor de tine și este prea greu de dezbrăcat ceea ce mi-ai făcut, mă trezesc în miez de noapte fără tine și este atât de nedrept","['Nostalgia', 'Sadness', 'Tenderness']"
Johnny Cash,Country,You Are My Sunshine,Unearthed 3: Redemption Songs,"În altă noapte, dragă în timp ce mă culc, am visat că te-am ținut în brațe când m-am trezit draga, m-am înșelat, așa că mi-am plecat capul și am plâns că ești soarele meu singurul meu soare, mă faci fericit când cerul sunt gri, nu te vei ști niciodată cât de mult te iubesc, te rog, nu-mi iei soare Sunshine mă faci fericit când cerul este gri, nu vei ști niciodată drag cât de mult te iubesc, te rog, nu-mi lua soarele","['Amazement', 'Nostalgia', 'Sadness', 'Tenderness']"
The Smiths,Rock,Still Ill,The Smiths,"Decret astăzi că viața este pur și simplu luată și nu a da Anglia este a mea, îmi datorează viața, dar mă întreabă de ce și voi scuipa în ochiul tău mă întreabă de ce și voi scuipa în ochi, dar nu ne mai putem agăța de vechile vise, nu putem să nu ne agățăm de acele vise, corpul nu mai stăpânește mintea sau nu mai stăpânește mintea corpul? Nu știu .. sub fier pe care l-am sărutat și, deși am sfârșit cu buze dureroase, nu mai era ca vremurile vechi, nu, nu a fost ca acele zile în care sunt încă bolnav? Sunt încă bolnav? Corpul stăpânește mintea sau mintea stăpânește corpul? Nu știu .. întreabă-mă de ce și voi muri mă întreabă de ce și voi muri și dacă trebuie să mergi la muncă mâine bine, dacă aș fi tu, nu m-aș deranja pentru că există părți mai strălucitoare la viață și ar trebui să știu pentru că le-am văzut, dar nu foarte des sub fierul pe care l-am sărutat și, deși am sfârșit cu buze dureroase, nu a mai fost ca vremurile de vechime, nu a fost ca acele zile în care am ajuns încă bolnav? Sunt încă bolnav?","['Nostalgia', 'Sadness']"
Reba McEntire,Country,You Never Gave Up on Me,Stronger Than the Truth,there is only one chance in a million Of a dream like this coming true And i have been told i am not the one By everyone but you Through all my doubts and all my fears Well it seemed those clouds would not ever clear You never gave up on me you never gave up on me i am here where I was always meant to be I never gave up ' cause you never gave up on me As I stand here and look around me And think of how far we have come Your faith it still astounds me just look at what we have done you have held me high up off the ground Every time this old world tried tried to bring me down You never gave up on me you never gave up on me i am here where I was always meant to be I never gave up ' cause you never gave up on me Everyone needs someone Someone to believe like you believed in me You never gave up on me No you never gave up on me Right here where I was always meant to be I never gave up ' cause you never gave up on me You never gave up on me Thank you Mama,"['Amazement', 'Power', 'Solemnity', 'Tenderness']"
JAY-Z,Hip-Hop,Oceans,Magna Carta... Holy Grail,"Vedeți acest Motherfucking Face binecuvântări binecuvântări pe care le văd .. Elefant tusk pe arcul unei doamne navigate pe coasta de fildeș Mercedes într-un rând care se învârte pe drum, sper că pielea mea neagră nu-l murdăriți în această tuxedo alb înainte de spectacolul Basquiat și dacă ar fi atât de bine să-l ia dracu, deoarece această apă a înecat familia mea, această apă mi-a amestecat sângele în apă, și dacă o să-l urmărească pe această apă și să-l urmărească Soarele aprinde pe valurile băiatului oceanului, încă mirosind ca cocaina cu barca albă haina albă poate fi mai curată? Deversarea de ulei pe care BP nu sunt curățată sunt Maria doar Christopher pe care o recunoaștem este Wallace, nici măcar nu-mi place Washingtons în buzunarul meu Black Card merge greu când sunt la cumpărături cu o barcă în fața lui Hermès care mă vor vedea mătase din bumbac și fleece nu văzuți dacă nu este vorba de aceste imagini, nu mă veți vedea pe toți Împărțesc ușile închise, sunt pe ocean, sunt în cer Yachting Ocean 11 Elefant Tusk pe arcul unei doamne navigabile, agățată pe coasta de fildeș Mercedes într-un rând care se înfășoară pe drum, sper că pielea mea neagră nu o murdărie pe această fludoasă albă înainte de spectacolul Basquiat, iar dacă este atât de bine să-l ia dracu, deoarece această apă mi-a dat drumul și să-mi spulbească o apă mi s-a amestecat pe apă în apă îmi va spune povestea, pentru că nu-l va face pe apă și să-și spulbească apa în apă, să-mi spună apa de apă, să-mi spună povestea, să-l știe pe apă, pentru că va fi în fața familiei mele, mi-a amestecat o apă în acest apă, să-mi spună apa de apă, să-mi spună povestea, o să-l știe pe apă, să-și dea drumul și Mergeți mai departe și urmăriți aprinderea soarelui pe valurile Oceanului, eu și Ty Ty este ca Pablo și Popeye șerpuitoare de murdărie șerpuită de pe mopeds, vărsând opusul de bun venit la Magnum Opus the Magna Carta, autorul a decodat pe vacanța care joacă „Fructe ciudate„ dacă sunt un swoosh și nu pot să-l iau pe același traseu, care este sunetul de bordură și nu pot fi sunetul unui balon, care este sunetul de bordură și nu pot fi sunetul aceluia Hovi mi-a spatele pe frânghie, Maybach-ul negru, sunt din nou în interiorul bărcii Shepard Fairey, în sfârșit mi-au dat o speranță nu pot crede că au primit un nigga pentru a vota democratul? Nu, am vândut droguri în ape cu probleme, a trebuit să învăț cum să plutesc pe ocean I Am In Heaven Yachting Ocean 11 Elefant Tusk pe arcul unei doamne navigate agățate pe coasta de fildeș Mercedes într-un rând care se învârte pe drum, sper că pielea mea neagră nu-l murdări Deversați niște șampanie în apă mergeți înainte și urmăriți soarele aruncat pe valurile oceanului","['Amazement', 'Power', 'Sadness']"
Elvis Presley,Rock,Suspicious Minds,Elvis In Person At The International Hotel (From Memphis to Vegas/From Vegas to Memphis),"Suntem prinși într-o capcană pe care nu o pot ieși pentru că te iubesc prea mult bebeluș De ce nu poți vedea ceea ce îmi faci atunci când nu crezi un cuvânt pe care îl spun? Nu putem continua împreună cu mințile suspecte cu minți suspecte și nu ne putem construi visele în minți suspecte, așa că dacă un vechi prieten știu că se oprește pentru a spune salut, aș vedea în continuare suspiciune în ochii tăi? Aici mergem din nou întrebându-ne unde am fost că nu puteți vedea că lacrimile sunt reale, plâng da, plâng că nu putem continua împreună cu mințile suspecte cu minți suspecte și nu ne putem construi visele în minți suspecte, lăsați dragostea noastră să supraviețuiască, voi usca lacrimile din ochii voștri, lăsați-ne să nu lăsăm un lucru bun când mierea, nu te-am așezat niciodată, de ce să nu-l vezi pe un capcană pentru a nu putea să mă descurci, deoarece nu te-am așezat niciodată, de ce să nu vezi ceea ce nu poți face asta, deoarece nu te-ai întins. Nu crezi un cuvânt pe care îl spun? Ei bine, nu știi că sunt prins într-o capcană? Nu pot ieși pentru că te iubesc prea mult bebeluș, nu știi că sunt prins într-o capcană? Nu pot ieși pentru că te iubesc prea mult bebeluș, nu știi că sunt prins într-o capcană? Nu pot ieși pentru că te iubesc prea mult bebeluș, nu știi că sunt prins într-o capcană? Nu pot ieși pentru că te iubesc prea mult bebeluș, nu știi că sunt prins într-o capcană? Nu pot ieși pentru că te iubesc prea mult copil ...","['Nostalgia', 'Sadness', 'Tenderness']"
Garth Brooks,Country,The River,Ropin’ the Wind,"Știți că un vis este ca un râu care se schimbă mereu pe măsură ce curge și un visător doar o navă care trebuie să urmeze acolo unde va încerca să învețe din ceea ce se află în spatele tău și niciodată să nu știu ce este în magazin face din fiecare zi o luptă constantă doar pentru a rămâne între țărmuri și voi naviga nava mea până nu va fi necesară pe râu, așa că nu voi încerca niciodată, așa că voi naviga în vânt, care sunt cerul meu, nu voi ajunge niciodată la destinația mea, dacă nu voi încerca niciodată, așa că voi naviga pe vânt stand aside And let the waters slip away Till what we put off till tomorrow Has now become today So do not you sit upon the shoreline And say you are satisfied Choose to chance the rapids And dare to dance the tide Yes I will sail my vessel ' Til the river runs dry Like a bird upon the wind These waters are my sky i will never reach my destination If I never try So I will sail my vessel ' Til the river runs dry And there is bound to be rough waters And I know i will take some falls But with the good Lord as my captain I can make it through them all Yes I will sail my vessel ' Til the river runs dry Like a bird upon the wind These waters are my sky i will never reach my destination If I never try So I will sail my vessel ' Til the river runs dry Yes I will sail my vessel ' Til the river runs dry ' Til the river runs dry","['Calmness', 'Power', 'Solemnity']"
Loretta Lynn,Country,Coal Miner’s Daughter,Coal Miner’s Daughter,"Ei bine, m-am născut fiica minerului de cărbune într-o cabină de pe un deal din măcelărie, am fost săraci, dar am avut dragoste, acesta este singurul lucru pe care tati l-a asigurat de el a împușcat cărbune pentru a face un dolar al unui bărbat sărac, tatăl meu a lucrat toată noaptea în mina de cărbune Van Lear, toată ziua, în câmpul care a transportat porumbul de porumb, mi-a zguduit pe bebelușii și a citit-o pe Bible de Bible de către Colour, iar totul va începe să-și dea peste cap bebelușii și să citească Bible de Bible, iar pentru a-l face pe Opt. miner 's pay Mommy scrubbed our clothes on a washboard everyday Why i have seen her fingers bleed to complain there was no need she is smiled in mommy 's understanding way In the summertime we did not have shoes to wear But in the wintertime we had all get a brand new pair From a mail order catalog money made from selling a hog Daddy always managed to get the money somewhere i am proud to be a coal miner 's daughter I remember well the well where I drew Apa Munca pe care am făcut-o a fost greu noaptea am dormit pentru că eram obosiți că nu m-am gândit niciodată să-l las vreodată pe măcelărie bine, multe lucruri s-au schimbat de la drumul de atunci și este atât de bine să ne întoarcem din nou acasă, dar podeaua nu mai trăiește aici, cu excepția amintirilor unei fiice a minerului de cărbune","['Amazement', 'Calmness', 'Joyful activation', 'Nostalgia', 'Tenderness']"
Kanye West,Hip-Hop,"Father Stretch My Hands, Pt. 1",The Life of Pablo,"Ești singura putere de putere, ești singura putere care poți fi singura putere de putere pe care ești singura putere care poate ohh ohh ohh tată ... Nimic nedorit până la urmă cu cine pot să mă întorc? Morning frumos, ești soarele în m-a micuțul meu, dacă nu mă întorc la tine nimic nedorit, niciun alt ajutor știu că îmi întind mâinile, vreau doar să mă simt eliberat-eu - - la cine pot să mă întorc? Vreau doar să mă simt eliberat, eu - - până la urmă cu cine pot să mă întorc? Dacă am instigat vreodată, îmi pare rău dacă nu mă îndrept spre tine, spune-mi cine aici nu ar putea să-mi relaționez niciun alt ajutor, știu că îmi întind mâinile acum, dacă voi dracu acest model și ea a albit-o pe fundul ei și o să mă înnebunesc pe cămașa mea, am simțit că un tâmpit, am fost înalt când am întâlnit-o, am fost în Tribca, ea va ajunge sub pielea ta, chiar dacă o va lăsa să-l dau pe pielea ta, dacă nici măcar nu va dori să-l faci pe piele, nu o să-l lăsăm pe piele Nici măcar nu vreau să spun nimic toată lumea spune ceva ce aș fi îngrijorat dacă nu ar spune nimic nu-mi amintește de unde te cunosc de la ea arată ca și cum ți-ar datora ceva, știi doar ce vrem, vreau să mă trezesc cu tine în mine ... Vreau să mă trezesc cu tine în ... Dimineața frumoasă, ești soarele în dimineața mea de dimineață, la care pot să mă întorc? Dimineață frumoasă nimic nedorit până la urmă cu cine pot să mă întorc? Morning frumos, ești soarele în m-a micuțul meu, dacă nu mă întorc la tine nimic nedorit, niciun alt ajutor știu că îmi întind mâinile, vreau doar să mă simt eliberat-eu - - la cine pot să mă întorc? Vreau doar să mă simt eliberat, eu - - până la urmă cu cine pot să mă întorc? Dacă am instigat vreodată, îmi pare rău dacă nu mă întorc la tine, spune-mi cine aici nu ar putea relaționa niciun alt ajutor, știu că îmi întind mâinile","['Calmness', 'Power', 'Tenderness', 'Tension']"
John Denver,Country,My Sweet Lady,"Poems, Prayers & Promises","Doamnă, plângeți, că lacrimile îmi aparțin, ai crezut că timpul nostru împreună a dispărut, doamnă, ai visat că sunt la fel de aproape cât pot fi și jur de tine că timpul nostru tocmai a început să-ți închid ochii și să-ți odihnești mintea obosită, promit că voi rămâne chiar aici alături de tine astăzi, viețile noastre au fost alăturate că ar fi înțeles că ar putea să știți cât de mult nu văzuți pe doamna mea, nu vă simțiți că nu este decât să vă dați că este că este vorba despre mijloacele pe care le-ați văzut că nu văzuți niciodată doamnă Adevărat și este ca și cum nu am iubit niciodată înainte ca doamna să plângi că lacrimile îmi aparțin, ai crezut că timpul nostru împreună a fost dispărut doamna mea, dulce, sunt cât se poate de aproape și vă jur","['Joyful activation', 'Sadness', 'Tenderness']"
The Mission UK,Rock,Severina,God’s Own Medicine,"Își are capul în nori, are stelele în ochii ei și dansează cu un vis în inima ei, are vântul în părul ei de părul copilului strălucitor și dansează cu un vis în inima ei, Severina severina, crede în îngeri, crede în voința zeilor și ea dansează printre praful magic pe care îl crede în mijlocul nopții, pe care crede că le-a fost în dragoste. Severina severina are o inimă plină de promisiune că are o mână în inimă, dansează la lumina lunii, are un cap plin de secrete înjurate la credința iubirii pe testament, dansează la lumina lunii Severina severina Ea este un cadou pentru zeii pe care îi dansează Severina severina severina","['Amazement', 'Joyful activation', 'Solemnity', 'Tenderness']"
Post Malone,Hip-Hop,Paranoid,beerbongs & bentleys,"Nu știu niciodată când vine cineva și încearcă să-mi ia viața, am dormit cu. 45 ca în fiecare seară în bici mă rog lui Dumnezeu, nu văd lumini intermitente, Dumnezeu, al naibii, chiar în spatele meu și mă trezesc în fiecare zi mă trezesc în fiecare zi cu această anxietate și știu unde stau „Malone” pe farfurii mele și ei urmează două sute de trupe sub podeaua bucătăriei, un pic mai mult în pereți, iar plafonul chiar și prietenii au început să se comute mai multe, de când nu am văzut pe care să-l dea cu ochii pe care să-l spun că nu-i va fi pe ochiul să-i dea seama că nu-ți va fi să-i dea seama de oare. de ce nu pot obține nicio ușurare, nu pot să nu dorm niciun somn când vor veni pentru mine, un om paranoic face planuri paranoice, fac ceea ce pot, dar este din mâinile mele luptându-mă doar pentru a găsi pacea mea uneori că nu am niciun prieten, nu pot avea încredere într-un suflet ca și cum aș fi zăpadă, chiar prin pat, ține-l încărcat să-l atrag pe milă, dacă nu se rup în că nu sunt niciodată, nu te-am dat jos Dintre noi gon na mor astăzi elicoptere pe cer Nu, nu poate scăpa de ochii politicieni și minciunile îmi spun ce rost are să alegi părțile? Tell me why I can get no relief I can not get no sleep Wondering when they will come for me A paranoid man makes paranoid plans I do what I can but it is out of my hands Struggling just to find my peace Ayy Mind is running all day Cost me more than money and i am paying the price I am not going nowhere Killing myself so I can make me a life Minute after minute never had a limit Woke up every morning knew that I just had to get it Windows always tinted you am not looking in În orice caz, știu că vor veni din nou pentru mine, spune-mi de ce nu pot primi nicio ușurare, nu pot să nu dorm să mă întreb când vor veni pentru mine, un bărbat paranoic face planuri paranoice, fac tot ce pot, dar este din mâinile mele luptându-mă doar pentru a-mi găsi pacea","['Power', 'Sadness', 'Tension']"
Lauryn Hill,Hip-Hop,Nothing Even Matters,The Miseducation of Lauryn Hill,"Umm acum cerul ar putea să cadă nici măcar dacă șeful meu ar trebui să numească lumea, pare atât de mic, pentru că nimic nu este deloc să nu vadă nimic, nici măcar chestiuni nu văd nimic nici măcar nu contează deloc nimic, nici măcar nu contează nimic, nici măcar nu văd că nu am nevoie de alcool, iubirea ta nu mă face să mă simt la zece metri înălțime, fără să trec prin retragere pentru că nu am nevoie de alcool, nici măcar nimic, nici măcar nimic nu ar putea să nu dea nimic, nici măcar nimic, nici măcar nu există nimic, nimic din toate acestea, nu ar putea să nu dea peste tot, nici o catastrofe, nici măcar să nu constituie nimic din acest lucru, nu poate să dea peste tot, nici măcar să nu dea peste cap. Nu este un loc, aș prefera să fiu „să nu fac nimic nici măcar să nu văd nimic, nici măcar chestiuni nu văd nimic nici măcar nu contează pentru mine nimic, nici măcar nu contează nimic nu contează pentru mine Nu faceți parte din identitatea mea, uneori nu am tendința de a vă privi religios bebelușul, pentru că nu este nimic, nici măcar chestiuni pentru mine nimic, nici măcar nu chestiile, nici măcar chestiuni pentru mine nu a spus că nu contează bebelușul nu contează acum nu veți găsi nici măcar niciun fel de materie, nici măcar nu au timp Nu văd nimic, nu contează să nu vedeți nimic, nici măcar nu contează nimic nimic, nici măcar nu contează nimic, nici măcar nu mai contează acum, echipa mea nu ar putea înscrie și să ajungă la ultimele patru, doar să-mi refacă cele patru din patru, pentru că nimic nu contează nici măcar nu mai mult, nu mai mult nimic nimic, nici măcar nu contează nimic, nici măcar nu mai sunt nimic nimic, nici măcar nu mai mult, nu mai mult pentru mine nu mai sunt la mine pentru mine pentru mine, pentru mine","['Joyful activation', 'Sadness', 'Tenderness']"
Black Uhuru,Reggae,Black Uhuru Anthem,Anthem,"Nu sunt temutul viu inna this'ya Dawn of the Living Dead I 'ng I’m the Living Dread inna this'ya Dawn of the Living Dead, în care mintea care scade dintr-o cultură îndepărtată în care mintea crește din cauza cauzei, susținând vulturii, nu sunt temutul viu, în această zi, în această zi de zi viu, care sunt copii, care sunt temutul în care se află în acest sens, în acest sens, în acest sens, în care se află temutul viu, care va fi odată cu o mulțime de zile în viață, care să-i fie pe teribilul Binecuvântat să fie copiii omului la fel de mult ca grâu de nisip, eu sunt temutul viu, în această zi de zi a morților vii, sunt temutul viu, în această zi, a morților vii, o clădire costisitoare în deal, în timp ce mulți alții nu nu obțin niciodată nicio acțiune care nu prizează un om de drepturile lor, este o crimă împotriva celor mai răi, nu vor să vă spună că nu este o parte din închisoare. ng i sunt temutul viu inna this'ya dings of the live dead unde mintea care scade dintr-o cultură îndepărtată în care mintea crește pentru că ne întoarcem vulturul I 'ng sunt temutul viu inna this'ya zori din morții vii, nu sunt temutul viu, în acest sens, în această zi de zi viu. Nu sunt temutul viu inna this'ya Dawn of the Living Dead I 'ng I Heart of the Maroon Heart a învățat la Maroon Gândit că am „Trod the Maroon Trod Inna Locuri dezolate I” ng sunt temutul viu inna this’ya Dawn of the Living Dead I' ng I’m the Living Dreading inna this _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _? _ _ Et en Français: nous Sommes les dreads vivants parmi l'aube des morts vivants x2 nos esprit s'avilissent a cauza de cette lointaine cultura nos manieres s'acccroissent car nous cedons aux vautours x2 benis soient les enfants de l'homme et seemble nonus nucles benys de sorient de l'homme et seemble les enfants de l'homme aussi peu nombreux que des boabe de sables x 2 sigii batissent chererement dans les collines pandant que d'utres ne reçoivent pas leurs du ils private un homain des ses droits c'est un crim-crud des pires je ne vec parle meme pas de închisoare x2 i noti ET Lumineux Break Nous Sommes Des Dreads Vivants Nous Avons Le Cœur d'un Maroon Nous Avons L'enseignment d'un Maroon Nous Suivons Les Chemins des Maroon A Travers Des Lieux DeSolés X2","['Nostalgia', 'Sadness', 'Tension']"
Stone Temple Pilots,Rock,Atlanta,№4,"Trăiește într-un bungalou pe care mă omoară cu trandafir-spini de grădină Ea așteaptă pentru mine dragostea mea este neobișnuită, este pictată cu trandafiri și spini cu ea, sunt completă, trăiește lângă perete și așteaptă pe ușa pe care o plimbă în soare pentru mine Visions of Mexico mă seducă, mă duce la cap, atât de atent amintiri de lumânări și de nepăsare, iar toate aceste lucruri îmi amintesc de aceștia că trăiește prin intermediul lor, amintiri de lumânări și de nepăsare, iar toate aceste lucruri îmi amintesc de aceștia că trăiește prin intermediul lor, amintiri de lumânări și de nepăsare, iar toate aceste lucruri îmi amintesc de aceștia că trăiește prin intermediul lor, amintiri de lumânări și de fluture, iar toate aceste lucruri îmi amintesc de aceștia că trăiește de către soare eu când lumânările suflă prăjitura a crescut, dar amintirile sunt dulci, râsul a dispărut, dar amintirile sunt ale mele prințesa mexicană este din viața mea, ea trăiește lângă zid și așteaptă lângă ușa pe care o merge la soare pentru mine","['Nostalgia', 'Sadness', 'Tenderness']"
The Doors,Rock,The Crystal Ship,The Doors,"Înainte de a aluneca în inconștiență, mi-ar plăcea să am un alt sărut o altă șansă intermitentă la un alt sărut, un alt sărut, zilele sunt luminoase și pline de durere, mă închid în ploaia voastră blândă, timpul pe care l-ați alergat a fost prea nebun, ne vom întâlni din nou, ne vom întâlni din nou, spunându-mi unde libertatea voastră se află că străzile sunt câmpuri care nu vor muri niciodată din motive pentru care ați avut mai degrabă plâns, mai degrabă, vă va prefera să vă cheltuiți timp, când vom fi completate o mii de fete, pentru că un milion de căi, care ar prefera să cheltuiți timpul de cristal.","['Nostalgia', 'Sadness', 'Tenderness']"
Johnny Cash,Country,God’s Gonna Cut You Down,American V: A Hundred Highways,"Puteți alerga pentru o perioadă lungă de timp pentru o perioadă lungă de timp mai devreme sau mai târziu, Dumnezeu te va tăia mai devreme sau mai târziu, Dumnezeu te va tăia în jos, spune-i că Long Language Mink și spune-i că călărețul de la Midnight spune-i lui Rambler jocul din spate, spune-le că zeul meu a fost să-mi spună că te-a spus că Dumnezeu a fost umed cu midderea mea, care mi-a fost să-mi spun știrea mea, care a fost bine a lui Gon na, cu midderea mea. genunchiul îndoit vorbind cu bărbatul din Galileea, mi-a vorbit cu vocea atât de dulce, încât am crezut că am auzit că a auzit picioarele îngerului pe care mi-a sunat-o numele meu și inima mea a stat nemișcat când a spus „Ioan merge să-mi facă voința!” Du-te să-i spui că Long Langy Liar go și să-i spui că călărețul de la Midnight spune că the Rambler the Gambler the Back Bear le spune că Dumnezeu poate să-i croiască pe un timp lung De mult timp ai pornit mult timp mai devreme sau mai târziu, Dumnezeu te va tăia mai devreme sau mai târziu, Dumnezeu te va tăia bine, poți să-ți arunci stânca și să-ți ascunzi mâna lucrând în întuneric împotriva semenului tău, dar la fel de sigur că Dumnezeu a făcut alb-negru ceea ce se face în întuneric va fi adus la lumină pe care îl poți alerga pentru o lungă perioadă de timp pentru o perioadă lungă de timp pentru o lungă perioadă de timp mai devreme sau mai târziu, te va da jos Spune-i lui Rambler jocul de jucător, back-ul spune-le că Dumnezeu nu-i taie, spune-le că Dumnezeu Gon na a tăiat-o","['Power', 'Solemnity', 'Tension']"
